epoch, rmse, rmse-dn
1000, 0.0413402, 51.299
2000, 0.0381574, 47.3495
3000, 0.0372549, 46.2296
4000, 0.0363605, 45.1197
5000, 0.035581, 44.1525
6000, 0.0349852, 43.4131
7000, 0.0345273, 42.8449
8000, 0.0341865, 42.422
9000, 0.0339466, 42.1244
10000, 0.033771, 41.9064
11000, 0.0336165, 41.7147
12000, 0.0334905, 41.5584
13000, 0.0334291, 41.4821
14000, 0.0334073, 41.4551
16000, 0.0331596, 41.1477
17000, 0.0331516, 41.1378
19000, 0.0329754, 40.9192
20000, 0.0329696, 40.912
22000, 0.032912, 40.8404
23000, 0.0329094, 40.8373
25000, 0.0328808, 40.8018
27000, 0.032868, 40.786
29000, 0.0328567, 40.7718
31000, 0.0328469, 40.7597
33000, 0.0328376, 40.7482
35000, 0.0328247, 40.7322
36000, 0.0328163, 40.7218
37000, 0.0328085, 40.7121
38000, 0.032801, 40.7028
39000, 0.0327941, 40.6943
40000, 0.0327871, 40.6855
41000, 0.0327807, 40.6775
42000, 0.0327742, 40.6695
43000, 0.032768, 40.6619
44000, 0.0327613, 40.6535
45000, 0.0327546, 40.6452
46000, 0.0327473, 40.6361
47000, 0.0327411, 40.6284
48000, 0.0327337, 40.6193
49000, 0.0327271, 40.611
50000, 0.0327208, 40.6032
51000, 0.0327151, 40.5962
52000, 0.0327103, 40.5902
53000, 0.0327056, 40.5844
54000, 0.0327015, 40.5793
55000, 0.0326983, 40.5753
56000, 0.0326954, 40.5717
57000, 0.0326914, 40.5667
58000, 0.0326889, 40.5637
59000, 0.0326835, 40.5569
60000, 0.0326798, 40.5524
61000, 0.0326744, 40.5456
62000, 0.0326685, 40.5383
63000, 0.0326622, 40.5305
64000, 0.0326573, 40.5244
65000, 0.0326512, 40.5169
66000, 0.0326451, 40.5093
67000, 0.0326382, 40.5008
68000, 0.032632, 40.4931
69000, 0.0326269, 40.4868
70000, 0.0326223, 40.481
71000, 0.032618, 40.4757
72000, 0.0326141, 40.4708
73000, 0.0326099, 40.4657
74000, 0.0326066, 40.4615
75000, 0.0326034, 40.4576
76000, 0.0326007, 40.4542
77000, 0.0325982, 40.4512
78000, 0.0325965, 40.4489
79000, 0.0325949, 40.447
80000, 0.0325946, 40.4466
81000, 0.0325937, 40.4455
82000, 0.032593, 40.4447
83000, 0.0325921, 40.4436
84000, 0.0325913, 40.4426
85000, 0.032591, 40.4422
86000, 0.0325904, 40.4414
87000, 0.0325903, 40.4413
88000, 0.0325902, 40.4412
89000, 0.0325898, 40.4407
90000, 0.0325894, 40.4402
